Index,Reactants,Products
2,CCCCCC/C=C/C(=O)O,CCCCCC/C=C/CO
3,c1ccc2c(c1)CCCC2,c1ccc2ccccc2c1
4,CC=CCCCCCCCCCC(=O)O,CCCCCCCCCCC=CC(=O)O
5,COC1=CC=CC=CC1,COC1C=CC=CC=C1
7,CCCCCc1ccc(O)cc1,CCCCCC1CCC(O)CC1
8,C#CC(C)(O)C=CC(C)CC,C=CC(C)(O)C=CC(C)CC
9,CC1CC=C(C(=O)O)CC1,CC1=CCC(C(=O)O)CC1
10,CC1CC=C(C(=O)O)CC1,CC1=CCC(C(=O)O)CC1
11,COc1cc(SC#N)ccc1O,COc1cc(SC)ccc1O
12,CC(C)(C)C1CCCC(N)C1,CC(C)(C)c1cccc(N)c1
13,O=C(O)C=Cc1ccccc1,O=C(O)C#Cc1ccccc1
14,CC1(C)COC(=O)C1=O,CC1(C)COC(=O)C1O
15,COC(=O)CCCCC=O,O=CCCCCC(=O)O
16,COC(=O)CCCCC=O,O=CCCCCC(=O)O
17,COC(=O)CCCCC=O,O=CCCCCC(=O)O
18,O=C(NCCO)c1cnccn1,O=C(NCCO)C1CNCCN1
19,CC(=O)C1=CCN(C)CC1,CC(=O)C1=CCNCC1
20,C=CCNC(=S)NCC=C,C=CCN=C=NCC=C
21,C=CCCCCCCCCCC,C#CCCCCCCCCCC
22,C=C(C)C(=O)N=C=O.CN,C=C(C)C(=O)NC(=O)NC
23,OCc1cccc2cccnc12,OCc1cccc2c1NCCC2
24,CCCCCCCCCCCCCO,CCCCCCCCCCCCO
25,c1ccc2c(c1)CCCC2,c1ccc2ccccc2c1
26,CC1CC(=O)CC(=O)C1.N,CC1CC(=O)C=C(N)C1
27,c1ccc(C2CO2)cc1,OCCc1ccccc1
28,CCCCC(=O)CCC(C)=O,CCCCC(=O)CCC(C)O
29,Nc1ccc2c(c1)CCC2,c1ccc2c(c1)CCC2
30,c1ccc(C2CO2)cc1,OCCc1ccccc1
31,CC1(O)Cc2ccccc2C1,CC1=Cc2ccccc2C1
32,CCCCCCC(C)NC(C)=O,CCCCCCC(C)NCC
33,C#CCO.C=C(C)C(=O)O,C#CCOC(=O)C(=C)C
34,CCC1CCNc2cc(OC)ccc21,CCC1CCNc2cc(O)ccc21
35,COC(=O)CCCCC=O,O=CCCCCC(=O)O
36,O=C(O)CC(CS)C(=O)O,O=C1CC(C(=O)O)CS1
37,O=C(O)c1cccc2occc12,O=C(O)c1cccc2c1CCO2
38,COc1cccc2c1OCC=C2,COc1cccc2c1OCCC2
39,C#CCC(CC#C)C(=O)OC,C#CCC(CC#C)C(=O)O
40,COC(CCC(CO)CO)OC,COC1CCC(CO)CO1
41,CC(C)N1CCN(C=O)CC1,CC(C)N1CCNCC1
42,c1ccc(C2CO2)cc1,OCCc1ccccc1
43,O=[N+]([O-])C=Cc1cccs1,O=[N+]([O-])CCc1cccs1
44,CC1(O)Cc2ccccc2C1,CC1=Cc2ccccc2C1
45,CC1(C)COC(=O)C1=O,CC1(C)COC(=O)C1O
46,O=Cc1ccc(O)cc1,OCc1ccc(O)cc1
47,CCCCCCCCCCCCCO,C=CCCCCCCCCCC
48,CCOc1cccnc1C(=O)O,CCOc1cccnc1CO
49,CC(C)S(=O)(=O)CC#N,CC(C)S(=O)(=O)CCN
50,CS(=O)(=O)Cc1ccccn1,CS(=O)(=O)CC1CCCCN1
51,O=C(O)C1CCCCC1,O=C(O)c1ccccc1
52,CC1(C)CCC(=NO)CC1,CC1(C)CCC(N)CC1
55,O=C(O)c1cccnc1O,OCc1cccnc1O
56,CCCCC/C=C/CCC=O,CCCCC/C=C/CCCO
57,COC(=O)COC/C=C/C=O,COC(=O)COC/C=C/CO
58,CC1(C)CCC(=NO)CC1,CC1(C)CCC(N)CC1
59,Cc1ccc(N)c(C(N)=O)c1,Cc1ccc(N)c(CN)c1
61,N#CCN1CCCC(O)C1,NCCN1CCCC(O)C1
62,COc1cccc2conc12,Oc1cccc2conc12
63,C#Cc1csc(C=O)c1,C#Cc1csc(CO)c1
65,Cc1ccc(N)c(C(N)=O)c1,Cc1ccc(N)c(CN)c1
66,O=C(O)Cc1ccccc1,O=C(O)CC1CCCCC1
67,CC1Cc2sccc2C(=O)N1,CC1Cc2sccc2CN1
68,O=C(O)CC1CCOCC1,OCCC1CCOCC1
69,O=C(O)c1cccc2occc12,O=C(O)c1cccc2c1CCO2
70,c1cc(OC2CCC2)ccn1,C1CC(OC2CCNCC2)C1
71,CC(O)(C#N)c1ccccn1,CC(O)(CN)c1ccccn1
72,CCc1cccc(OC)n1,CCc1cccc(O)n1
73,CCOC(=O)c1coc(C=O)n1,CCOC(=O)c1coc(CO)n1
